date,cases,deaths,location
3/1/2020,43,0,France_301
3/2/2020,30,0,France_301
3/3/2020,48,1,France_301
3/4/2020,34,1,France_301
3/5/2020,73,0,France_301
3/6/2020,138,3,France_301
3/7/2020,190,2,France_301
3/8/2020,103,1,France_301
3/9/2020,410,9,France_301
3/10/2020,286,11,France_301
3/11/2020,372,3,France_301
3/12/2020,497,15,France_301
3/13/2020,595,13,France_301
3/14/2020,785,18,France_301
3/15/2020,838,12,France_301
3/16/2020,924,36,France_301
3/17/2020,1210,21,France_301
3/18/2020,1097,27,France_301
3/19/2020,1404,69,France_301
3/20/2020,1861,128,France_301
3/21/2020,1617,78,France_301
3/22/2020,1847,112,France_301
3/23/2020,1559,112,France_301
3/24/2020,3838,186,France_301
3/25/2020,2446,240,France_301
3/26/2020,2931,231,France_301
3/27/2020,3922,365,France_301
3/28/2020,3809,299,France_301
3/29/2020,4611,319,France_301
3/30/2020,2599,292,France_301
3/31/2020,4376,418,France_301
