date	county	state	fips	cases	deaths
3/24/2020	Autauga	Alabama	1001	1	0
3/25/2020	Autauga	Alabama	1001	4	0
3/26/2020	Autauga	Alabama	1001	6	0
3/27/2020	Autauga	Alabama	1001	6	0
3/28/2020	Autauga	Alabama	1001	6	0
3/29/2020	Autauga	Alabama	1001	6	0
3/30/2020	Autauga	Alabama	1001	7	0
3/31/2020	Autauga	Alabama	1001	7	0
4/1/2020	Autauga	Alabama	1001	10	0
4/2/2020	Autauga	Alabama	1001	10	0
4/3/2020	Autauga	Alabama	1001	12	0
4/4/2020	Autauga	Alabama	1001	12	0
4/5/2020	Autauga	Alabama	1001	12	0
4/6/2020	Autauga	Alabama	1001	12	1
4/7/2020	Autauga	Alabama	1001	12	1
4/8/2020	Autauga	Alabama	1001	12	1
4/9/2020	Autauga	Alabama	1001	17	1
4/10/2020	Autauga	Alabama	1001	17	1
4/11/2020	Autauga	Alabama	1001	19	1
4/12/2020	Autauga	Alabama	1001	19	1
4/13/2020	Autauga	Alabama	1001	19	1
4/14/2020	Autauga	Alabama	1001	23	1
4/15/2020	Autauga	Alabama	1001	25	1
4/16/2020	Autauga	Alabama	1001	25	2
4/17/2020	Autauga	Alabama	1001	26	2
3/14/2020	Baldwin	Alabama	1003	1	0
3/15/2020	Baldwin	Alabama	1003	1	0
3/16/2020	Baldwin	Alabama	1003	1	0
3/17/2020	Baldwin	Alabama	1003	1	0
3/18/2020	Baldwin	Alabama	1003	1	0
3/19/2020	Baldwin	Alabama	1003	1	0
3/20/2020	Baldwin	Alabama	1003	2	0
3/21/2020	Baldwin	Alabama	1003	2	0
3/22/2020	Baldwin	Alabama	1003	2	0
3/23/2020	Baldwin	Alabama	1003	3	0
3/24/2020	Baldwin	Alabama	1003	4	0
3/25/2020	Baldwin	Alabama	1003	4	0
3/26/2020	Baldwin	Alabama	1003	5	0
3/27/2020	Baldwin	Alabama	1003	5	0
3/28/2020	Baldwin	Alabama	1003	10	0
3/29/2020	Baldwin	Alabama	1003	15	0
3/30/2020	Baldwin	Alabama	1003	18	0
3/31/2020	Baldwin	Alabama	1003	19	0
4/1/2020	Baldwin	Alabama	1003	23	1
4/2/2020	Baldwin	Alabama	1003	25	1
4/3/2020	Baldwin	Alabama	1003	28	1
4/4/2020	Baldwin	Alabama	1003	29	1
4/5/2020	Baldwin	Alabama	1003	34	1
4/6/2020	Baldwin	Alabama	1003	38	1
4/7/2020	Baldwin	Alabama	1003	42	1
4/8/2020	Baldwin	Alabama	1003	49	1
4/9/2020	Baldwin	Alabama	1003	59	1
4/10/2020	Baldwin	Alabama	1003	59	1
4/11/2020	Baldwin	Alabama	1003	66	1
4/12/2020	Baldwin	Alabama	1003	71	1
4/13/2020	Baldwin	Alabama	1003	78	1
4/14/2020	Baldwin	Alabama	1003	87	2
4/15/2020	Baldwin	Alabama	1003	98	2
4/16/2020	Baldwin	Alabama	1003	102	2
4/17/2020	Baldwin	Alabama	1003	103	2
4/3/2020	Barbour	Alabama	1005	1	0
4/4/2020	Barbour	Alabama	1005	2	0
4/5/2020	Barbour	Alabama	1005	2	0
4/6/2020	Barbour	Alabama	1005	3	0
4/7/2020	Barbour	Alabama	1005	3	0
4/8/2020	Barbour	Alabama	1005	3	0
4/9/2020	Barbour	Alabama	1005	7	0
4/10/2020	Barbour	Alabama	1005	9	0
4/11/2020	Barbour	Alabama	1005	10	0
4/12/2020	Barbour	Alabama	1005	10	0
