date,cases,deaths,location
12/31/2019,0,0,myFrance
1/1/2020,0,0,myFrance
1/2/2020,0,0,myFrance
1/3/2020,0,0,myFrance
1/4/2020,0,0,myFrance
1/5/2020,0,0,myFrance
1/6/2020,0,0,myFrance
1/7/2020,0,0,myFrance
1/8/2020,0,0,myFrance
1/9/2020,0,0,myFrance
1/10/2020,0,0,myFrance
1/11/2020,0,0,myFrance
1/12/2020,0,0,myFrance
1/13/2020,0,0,myFrance
1/14/2020,0,0,myFrance
1/15/2020,0,0,myFrance
1/16/2020,0,0,myFrance
1/17/2020,0,0,myFrance
1/18/2020,0,0,myFrance
1/19/2020,0,0,myFrance
1/20/2020,0,0,myFrance
1/21/2020,0,0,myFrance
1/22/2020,0,0,myFrance
1/23/2020,0,0,myFrance
1/24/2020,0,0,myFrance
1/25/2020,3,0,myFrance
1/26/2020,0,0,myFrance
1/27/2020,0,0,myFrance
1/28/2020,0,0,myFrance
1/29/2020,1,0,myFrance
1/30/2020,1,0,myFrance
1/31/2020,1,0,myFrance
2/1/2020,0,0,myFrance
2/2/2020,0,0,myFrance
2/3/2020,0,0,myFrance
2/4/2020,0,0,myFrance
2/5/2020,0,0,myFrance
2/6/2020,0,0,myFrance
2/7/2020,0,0,myFrance
2/8/2020,5,0,myFrance
2/9/2020,0,0,myFrance
2/10/2020,0,0,myFrance
2/11/2020,0,0,myFrance
2/12/2020,0,0,myFrance
2/13/2020,0,0,myFrance
2/14/2020,0,0,myFrance
2/15/2020,0,1,myFrance
2/16/2020,0,0,myFrance
2/17/2020,1,0,myFrance
2/18/2020,0,0,myFrance
2/19/2020,0,0,myFrance
2/20/2020,0,0,myFrance
2/21/2020,0,0,myFrance
2/22/2020,0,0,myFrance
2/23/2020,0,0,myFrance
2/24/2020,0,0,myFrance
2/25/2020,0,0,myFrance
2/26/2020,2,0,myFrance
2/27/2020,3,1,myFrance
2/28/2020,21,0,myFrance
2/29/2020,19,0,myFrance
3/1/2020,43,0,myFrance
3/2/2020,30,0,myFrance
3/3/2020,48,1,myFrance
3/4/2020,34,1,myFrance
3/5/2020,73,0,myFrance
3/6/2020,138,3,myFrance
3/7/2020,190,2,myFrance
3/8/2020,103,1,myFrance
3/9/2020,410,9,myFrance
3/10/2020,286,11,myFrance
3/11/2020,372,3,myFrance
3/12/2020,497,15,myFrance
3/13/2020,595,13,myFrance
3/14/2020,785,18,myFrance
3/15/2020,838,12,myFrance
3/16/2020,924,36,myFrance
3/17/2020,1210,21,myFrance
3/18/2020,1097,27,myFrance
3/19/2020,1404,69,myFrance
3/20/2020,1861,128,myFrance
3/21/2020,1617,78,myFrance
3/22/2020,1847,112,myFrance
3/23/2020,1559,112,myFrance
3/24/2020,3838,186,myFrance
3/25/2020,2446,240,myFrance
3/26/2020,2931,231,myFrance
3/27/2020,3922,365,myFrance
3/28/2020,3809,299,myFrance
3/29/2020,4611,319,myFrance
3/30/2020,2599,292,myFrance
3/31/2020,4376,418,myFrance
